id,cost
299,18178.773613816167
300,18057.52466213774
301,18098.000213511852
302,18098.000213511852
303,16822.271306906958
304,16822.271306906958
305,16822.271306906958
306,17258.692831077762
307,17775.75959275475
308,17775.75959275475
309,17872.269675517648
310,19542.226616897875
311,19764.566880063547
312,18215.250259441702
313,18872.761553238084
314,18006.173146765337
315,17877.765584830166
316,18077.767008612183
317,17945.503093886302
318,17771.822549986748
319,17736.12498343603
320,17736.12498343603
321,16969.836027260895
322,16583.99427254245
323,16583.99427254245
324,16546.102152274158
325,16546.102152274158
326,16546.102152274158
327,15814.416612964253
328,15770.610052437265
329,14397.317148028915
330,14397.317148028915
331,14397.317148028915
332,14397.317148028915
333,14397.317148028915
334,14397.317148028915
335,14397.317148028915
336,14260.660798788222
337,14260.660798788222
338,14260.660798788222
339,14260.660798788222
340,14260.660798788222
341,14260.660798788222
342,14163.627517461584
343,14163.627517461584
344,14163.627517461584
345,14028.472749685514
346,14028.472749685514
347,14028.472749685514
348,14028.472749685514
349,14028.472749685514
350,14028.472749685514
351,14028.472749685514
352,14028.472749685514
353,13913.733224610767
354,13913.733224610767
355,13913.733224610767
356,13890.75617390279
357,13890.75617390279
358,13890.75617390279
359,13314.287494959766
360,13314.287494959766
361,13314.287494959766
362,13314.287494959766
363,13314.287494959766
364,13304.287638085927
365,13304.287638085927
366,13304.287638085927
367,13304.287638085927
368,13304.287638085927
369,13304.287638085927
370,13010.7732339751
371,13010.7732339751
372,13010.7732339751
373,13010.7732339751
374,12900.445217763881
375,12900.445217763881
376,12449.908325449309
377,12449.908325449309
378,12449.908325449309
379,12449.908325449309
380,12387.43324517403
381,12387.43324517403
382,12387.43324517403
383,12332.291960056911
384,12332.291960056911
385,12332.291960056911
386,12332.291960056911
387,12330.209167346517
388,12035.96294697769
389,12035.96294697769
390,12035.96294697769
391,12035.96294697769
392,11953.908794277468
393,11868.448885267282
394,11868.448885267282
395,11868.448885267282
396,11868.448885267282
397,11849.872115908543
398,11849.872115908543
399,11849.872115908543
400,11806.429860711438
401,11806.429860711438
402,11806.429860711438
403,11806.429860711438
404,11806.429860711438
405,11806.429860711438
406,11749.441660804341
407,11698.657574142486
408,11698.657574142486
409,11698.657574142486
410,11698.657574142486
411,11698.657574142486
412,11524.237510654335
413,11524.237510654335
414,11524.237510654335
415,11524.237510654335
416,11524.237510654335
417,11352.954811345593
418,11352.954811345593
419,11352.954811345593
420,11352.954811345593
421,11243.159396744975
422,11243.159396744975
423,11243.159396744975
424,11161.798576706804
425,11161.798576706804
426,11161.798576706804
